"name"	"category"	"light_rum"	"lemon_juice"	"lime_juice"	"sweet_vermouth"	"orange_juice"	"powdered_sugar"	"dark_rum"	"cranberry_juice"	"pineapple_juice"	"bourbon_whiskey"	"simple_syrup"	"cherry_flavored_brandy"	"light_cream"	"triple_sec"	"maraschino"	"amaretto"	"grenadine"	"apple_brandy"	"brandy"	"gin"	"anisette"	"dry_vermouth"	"apricot_flavored_brandy"	"bitters"	"straight_rye_whiskey"	"benedictine"	"egg_white"	"half_and_half"	"vodka"	"grapefruit_juice"	"blended_scotch_whiskey"	"port"	"white_creme_de_cacao"	"citrus_flavored_vodka"	"whole_egg"	"egg_yolk"	"blended_whiskey"	"dubonnet"	"blanco_tequila"	"old_mr_boston_dry_gin"
"1"	"Gauguin"	"Cocktail Classics"	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	"Fort Lauderdale"	"Cocktail Classics"	1.5	0	0.25	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	"Cuban Cocktail No. 1"	"Cocktail Classics"	2	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"Cool Carlos"	"Cocktail Classics"	0	0	0	0	1	0	1.5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"John Collins"	"Whiskies"	0	1	0	0	0	0	0	0	0	2	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"Cherry Rum"	"Cocktail Classics"	1.25	0	0	0	0	0	0	0	0	0	0	1.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7"	"Casa Blanca"	"Cocktail Classics"	2	0	1.5	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	"Caribbean Champagne"	"Cocktail Classics"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"Amber Amour"	"Cordials and Liqueurs"	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"10"	"The Joe Lewis"	"Whiskies"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11"	"Bacardi Cocktail"	"Cocktail Classics"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12"	"Apple Pie No. 1"	"Cocktail Classics"	0.75	1	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13"	"Yolanda"	"Cocktail Classics"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14"	"Yellow Rattler"	"Cocktail Classics"	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	"Why Not?"	"Cocktail Classics"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16"	"Amaretto Stinger"	"Cordials and Liqueurs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"17"	"What The Hell"	"Cocktail Classics"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"18"	"Webster Cocktail"	"Cocktail Classics"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"19"	"Union Jack Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"20"	"Jocose Julep"	"Whiskies"	0	0	1	0	0	0	0	0	0	2.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21"	"Trinity Cocktail"	"Cocktail Classics"	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22"	"Three Stripes Cocktail"	"Cocktail Classics"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"23"	"Tanq-A-Rita"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"24"	"Amaretto Sour"	"Cordials and Liqueurs"	0	0.75	0	0	1	0	0	0	0	0	0.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25"	"Tailspin Cocktail"	"Cocktail Classics"	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"26"	"Sweet Patootie Cocktail"	"Cocktail Classics"	0	0	0	0	1	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27"	"Sunshine Cocktail"	"Cocktail Classics"	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"28"	"Spring Feeling Cocktail"	"Cocktail Classics"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"29"	"Sphinx Cocktail"	"Cocktail Classics"	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	"Jitterbug Sour"	"Whiskies"	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	2	0.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"31"	"Southern Gin Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	2	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"32"	"Society Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	1.5	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"33"	"Snyder"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"34"	"Smiler Cocktail"	"Cocktail Classics"	0	0	0	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"35"	"Smile Cocktail"	"Cocktail Classics"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"36"	"Amaretto Rose"	"Cordials and Liqueurs"	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"37"	"Sand-Martin Cocktail"	"Cocktail Classics"	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"38"	"Irish Whiskey Highball"	"Whiskies"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"39"	"Japanese"	"Brandy"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"40"	"Roselyn Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.5	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"41"	"Resolute Cocktail"	"Cocktail Classics"	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"42"	"Racquet Club Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0.75	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"43"	"Amaretto And Cream"	"Cordials and Liqueurs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0
"44"	"Pollyanna Cocktai"	"Cocktail Classics"	0	0	0	0.5	3	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"45"	"Plaza Cocktail"	"Cocktail Classics"	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"46"	"Irish Whiskey Cocktail"	"Whiskies"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0	0	0	0	0	0.5	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"47"	"Absinthe Special Cocktail"	"Cordials and Liqueurs"	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"48"	"Nineteenth Hole"	"Cocktail Classics"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"49"	"Montreal Club Bouncer"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50"	"Monte Carlo Imperial Highball"	"Cocktail Classics"	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"51"	"Irish Shillelagh"	"Whiskies"	1	1	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"52"	"Melon Cocktail"	"Cocktail Classics"	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"53"	"Martini (Medium)"	"Cocktail Classics"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"54"	"Martini (Dry) (5-to-1)"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"55"	"Mamie's Sister"	"Cocktail Classics"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"56"	"Irish Rickey"	"Whiskies"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"57"	"Maiden's Prayer"	"Cocktail Classics"	0	1	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"58"	"Lone Tree Cocktail"	"Cocktail Classics"	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"59"	"London Buck"	"Cocktail Classics"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"60"	"Leap Frog Highball"	"Cocktail Classics"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"61"	"Kup's Indispensable Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0.5	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"62"	"Knock-Out Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0.5	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"63"	"K. G. B. Cocktail"	"Cocktail Classics"	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"64"	"Imperial Fizz"	"Whiskies"	0.5	1	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"65"	"Jeyplak Cocktail"	"Cocktail Classics"	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"66"	"H. P. W. Cocktail"	"Cocktail Classics"	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"67"	"Hotel Plaza Cocktail"	"Cocktail Classics"	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"68"	"Hoffman House Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"69"	"Hawaiin Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	1	0	0	0	0	0.5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"70"	"White Russian"	"Vodka"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"71"	"Greyhound"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
"72"	"Green Devil"	"Cocktail Classics"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"73"	"Greenback"	"Cocktail Classics"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
