Greedy_RefOnly	Greedy_Nr	Greedy_NrEuk	MEM_RefOnly	MEM_Nr	MEM_NrEuk	averVal	COV	taxonomy
295661	237556	228718	290577	237556	189767	246639	0.16273	Unclassified
0	2866	2684	11029	2866	19961	6567.67	1.14936	root__cellular__organisms__Bacteria
0	3983	3956	6549	3983	14372	5473.83	0.88389	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes
0	5814	5794	2755	5814	8222	4733.17	0.61197	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae
0	7007	6974	0	7007	4906	4315.67	0.79699	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Sediminibacterium__Sediminibacterium__ginsengisoli
1023	4630	4622	1063	4630	5094	3510.33	0.54689	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__Novosphingobium
0	2529	2506	5124	2529	8246	3489	0.81355	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria
0	2031	1959	6276	2031	8135	3405.33	0.91059	root__cellular__organisms__Bacteria__Proteobacteria
1644	2336	2323	5405	2336	6048	3348.67	0.55906	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae
1443	2807	2804	2043	2807	3400	2550.67	0.27171	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Bradyrhizobiaceae__Bradyrhizobium
8699	0	0	5833	0	0	2422	1.59375	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Niastella__Niastella__koreensis__Niastella__koreensis__GR20-10
1060	2265	2258	2402	2265	3686	2322.67	0.35867	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae
0	2778	2763	0	2778	1655	1662.33	0.81723	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Sphingobacteriia__unclassified__Sphingobacteriia
0	1128	1127	2364	1128	2970	1452.83	0.72583	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales
5098	0	0	3549	0	0	1441.17	1.58604	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Flavisolibacter__Flavisolibacter__sp.__LCS9
0	2312	2307	0	2312	1591	1420.33	0.79905	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__unclassified__Rhodobacterales
0	2108	2103	0	2108	1412	1288.5	0.80222	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Pseudorhodobacter__Pseudorhodobacter__psychrotolerans
0	1371	1371	1048	1371	2207	1228	0.58271	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Bradyrhizobiaceae
0	1871	1778	0	1871	1410	1155	0.78845	root__cellular__organisms__Bacteria__environmental__samples__uncultured__bacterium
3930	0	0	2892	0	0	1137	1.57586	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Arachidicoccus__Arachidicoccus__sp.__BS20
3806	0	0	2761	0	0	1094.5	1.57834	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__Novosphingobium__Novosphingobium__aromaticivorans__Novosphingobium__aromaticivorans__DSM__12444
0	1719	1716	0	1719	1339	1082.17	0.78638	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodospirillales__unclassified__Rhodospirillales__unclassified__Rhodospirillales__(miscellaneous)__Rhodospirillales__bacterium__URHD0017
0	1323	1318	0	1323	2521	1080.83	0.88589	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales
0	1564	1553	0	1564	1779	1076.67	0.77859	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__Sphingomonas
0	1684	1675	0	1684	1197	1040	0.7953	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Filimonas__Filimonas__lacunae
0	1636	1632	0	1636	1239	1023.83	0.78893	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Hydrotalea__Hydrotalea__flava
0	1569	1565	0	1569	1099	967	0.79702	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__Novosphingobium__Novosphingobium__lentum
0	0	0	1208	0	4451	943.167	1.89269	root__cellular__organisms
0	1395	1394	0	1395	1089	878.833	0.78622	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__unclassified__Alphaproteobacteria__unclassified__Alphaproteobacteria__(miscellaneous)__Alphaproteobacteria__bacterium__RIFCSPHIGHO2_12_FULL_66_14
0	1413	1411	0	1413	1010	874.5	0.79483	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Segetibacter__Segetibacter__koreensis
0	1353	1345	0	1353	1144	865.833	0.78008	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Sediminibacterium
0	1359	1354	0	1359	1039	851.833	0.78801	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodospirillales__unclassified__Rhodospirillales__Enhydrobacter__Enhydrobacter__aerosaccus
2833	0	0	2264	0	0	849.5	1.56361	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Bradyrhizobiaceae__Bradyrhizobium__Bradyrhizobium__icense
2972	0	0	2086	0	0	843	1.58444	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Chitinophaga__Chitinophaga__pinensis__Chitinophaga__pinensis__DSM__2588
0	1310	1308	0	1310	1016	824	0.78677	root__cellular__organisms__Bacteria__PVC__group__Verrucomicrobia__Verrucomicrobiae__Verrucomicrobiales__Verrucomicrobiaceae__Prosthecobacter__Prosthecobacter__debontii
0	1275	1264	0	1275	1035	808.167	0.78285	root__cellular__organisms__Bacteria__PVC__group__Planctomycetes__Planctomycetia__Planctomycetales__Planctomycetaceae__Schlesneria__Schlesneria__paludicola
0	1131	1132	0	1131	1028	737	0.7765	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Cytophagia__Cytophagales__Cytophagaceae__Spirosoma__Spirosoma__linguale__Spirosoma__linguale__DSM__74
0	1329	1328	0	1329	0	664.333	1.09545	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Rhodobacter__Rhodobacter__sp.__CACIA14H1
2416	0	0	1528	0	0	657.333	1.60701	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Niabella__Niabella__soli__Niabella__soli__DSM__19437
0	1302	1295	0	1302	0	649.833	1.09545	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Hydrobacter__Hydrobacter__penzbergensis
0	0	0	1743	0	1979	620.333	1.55386	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales
0	1198	1192	0	1198	0	598	1.09545	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Parafilimonas__Parafilimonas__terrae
0	1180	1175	0	1180	0	589.167	1.09545	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodospirillales__Rhodospirillaceae__unclassified__Rhodospirillaceae__Rhodospirillaceae__bacterium__CCH5-H10
1919	0	0	1546	0	0	577.5	1.5626	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Rhodobacter__Rhodobacter__sphaeroides
1909	0	0	1351	0	0	543.333	1.58287	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Sphingobacteriia__Sphingobacteriales__Sphingobacteriaceae__Mucilaginibacter__Mucilaginibacter__sp.__PAMC__26640
0	1037	1015	0	1037	0	514.833	1.09556	root__cellular__organisms__Bacteria__Terrabacteria__group__Firmicutes__Bacilli__Lactobacillales__Enterococcaceae__Enterococcus__Enterococcus__faecium
0	1031	1025	0	1031	0	514.5	1.09545	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Sphingobacteriia__Sphingobacteriales__unclassified__Sphingobacteriales__unclassified__Sphingobacteriales__(miscellaneous)__Sphingobacteriales__bacterium__50-39
0	1031	1024	0	1031	0	514.333	1.09546	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Bradyrhizobiaceae__Bradyrhizobium__Bradyrhizobium__erythrophlei
1910	0	0	1165	0	0	512.5	1.61596	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Niabella__Niabella__ginsenosidivorans
1782	0	0	1231	0	0	502.167	1.58758	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__Novosphingobium__Novosphingobium__resinovorum
0	0	1355	0	0	1316	445.167	1.54944	root__cellular__organisms__Eukaryota__Opisthokonta__Fungi__Mucoromycota__Glomeromycotina__Glomeromycetes__Glomerales__Glomeraceae__Rhizophagus__Rhizophagus__irregularis__Rhizophagus__irregularis__DAOM__197198w
0	0	0	0	0	1545	257.5	2.44949	root__cellular__organisms__Bacteria__Proteobacteria__Betaproteobacteria__Burkholderiales
0	0	0	0	0	1442	240.333	2.44949	root__cellular__organisms__Bacteria__Terrabacteria__group__Actinobacteria__Actinobacteria
1393	0	0	0	0	0	232.167	2.44949	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Defluviimonas__Defluviimonas__alba
0	0	0	0	0	1248	208	2.44949	root__cellular__organisms__Eukaryota
1244	0	0	0	0	0	207.333	2.44949	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Saprospiria__Saprospirales__Haliscomenobacteraceae__Haliscomenobacter__Haliscomenobacter__hydrossis__Haliscomenobacter__hydrossis__DSM__1100
0	0	0	0	0	1234	205.667	2.44949	root__cellular__organisms__Eukaryota__Opisthokonta__Fungi
1175	0	0	0	0	0	195.833	2.44949	root__cellular__organisms__Bacteria__Proteobacteria__Betaproteobacteria__Methylophilales__Methylophilaceae__Methylotenera__Methylotenera__versatilis__Methylotenera__versatilis__301
1100	0	0	0	0	0	183.333	2.44949	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Cytophagia__Cytophagales__Cytophagaceae__Emticicia__Emticicia__oligotrophica__Emticicia__oligotrophica__DSM__17448
1096	0	0	0	0	0	182.667	2.44949	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Rhodobacter__Rhodobacter__sphaeroides__Rhodobacter__sphaeroides__ATCC__17025
1059	0	0	0	0	0	176.5	2.44949	root__cellular__organisms__Bacteria__Acidobacteria__Solibacteres__Solibacterales__Solibacteraceae__Candidatus__Solibacter__Candidatus__Solibacter__usitatus__Candidatus__Solibacter__usitatus__Ellin6076
1035	0	0	0	0	0	172.5	2.44949	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Hyphomicrobiaceae__Rhodoplanes__Rhodoplanes__sp.__Z2-YC6860
1032	0	0	0	0	0	172	2.44949	root__cellular__organisms__Bacteria__Proteobacteria__Betaproteobacteria__Burkholderiales__Comamonadaceae__Polaromonas__Polaromonas__sp.__JS666
0	0	0	1005	0	0	167.5	2.44949	root__cellular__organisms__Bacteria__Proteobacteria__Betaproteobacteria__Burkholderiales__Comamonadaceae
