Sample	AvgSpotLen	Bases	BioProject	BioSample	Bytes	env_broad_scale	env_local_scale	Experiment	isol_growth_condt	LibraryName	SampleName	SRA_Study	strain
SRR15655213	557	1910741	PRJNA758386	SAMN21024080	1223302	Uterine	Type2	SRX11952338	2g59.END093	2g59.END093	END093	SRP334480	END093_metagenome
SRR15655214	565	4710998	PRJNA758386	SAMN21024160	2455613	Anal	Benign	SRX11952337	2g41.END001	2g41.END001	END001	SRP334480	END001_metagenome
SRR15655215	564	4443561	PRJNA758386	SAMN21024159	2344494	Cervicovaginal	Benign	SRX11952336	2g41.END002	2g41.END002	END002	SRP334480	END002_metagenome
SRR15655216	559	5971406	PRJNA758386	SAMN21024158	3113629	Uterine	Benign	SRX11952335	2g41.END003	2g41.END003	END003	SRP334480	END003_metagenome
SRR15655217	564	3307311	PRJNA758386	SAMN21024157	1756733	Anal	Type2	SRX11952334	2g41.END004	2g41.END004	END004	SRP334480	END004_metagenome
SRR15655218	563	1575947	PRJNA758386	SAMN21024156	892813	Cervicovaginal	Type2	SRX11952333	2g41.END005	2g41.END005	END005	SRP334480	END005_metagenome
SRR15655219	557	3116271	PRJNA758386	SAMN21024155	1683013	Uterine	Type2	SRX11952332	2g41.END006	2g41.END006	END006	SRP334480	END006_metagenome
SRR15655220	565	4036875	PRJNA758386	SAMN21024154	2101557	Anal	Type2	SRX11952331	2g41.END010	2g41.END010	END010	SRP334480	END010_metagenome
SRR15655221	563	4480368	PRJNA758386	SAMN21024153	2387162	Cervicovaginal	Type2	SRX11952330	2g41.END011	2g41.END011	END011	SRP334480	END011_metagenome
SRR15655223	565	4070507	PRJNA758386	SAMN21024151	2139357	Anal	Type1	SRX11952328	2g41.END013	2g41.END013	END013	SRP334480	END013_metagenome
SRR15655226	556	2680083	PRJNA758386	SAMN21024149	1434484	Uterine	Type1	SRX11952325	2g41.END015	2g41.END015	END015	SRP334480	END015_metagenome
SRR15655227	565	3031689	PRJNA758386	SAMN21024148	1615204	Anal	Type1	SRX11952324	2g41.END016	2g41.END016	END016	SRP334480	END016_metagenome
SRR15655229	547	4120957	PRJNA758386	SAMN21024146	2164365	Uterine	Type1	SRX11952322	2g41.END018	2g41.END018	END018	SRP334480	END018_metagenome
SRR15655230	565	3735502	PRJNA758386	SAMN21024145	1962342	Anal	Type1	SRX11952321	2g41.END019	2g41.END019	END019	SRP334480	END019_metagenome
SRR15655232	554	5270825	PRJNA758386	SAMN21024143	2751063	Uterine	Type1	SRX11952319	2g41.END021	2g41.END021	END021	SRP334480	END021_metagenome
SRR15655234	564	3882013	PRJNA758386	SAMN21024141	2056181	Cervicovaginal	Benign	SRX11952317	2g41.END026	2g41.END026	END026	SRP334480	END026_metagenome
